Codice Ripartizione geografica;Codice Regione;Codice Provincia (Storico);Codice Provincia/Uts;Codice Comune (alfanumerico);Codice Comune (numerico);Comune;Comune (dizione straniera);Sigla automobilistica;Capoluogo di Provincia/Uts;Capoluogo di Regione;Popolazione legale;Anno Censimento;Superficie (Kmq);Anno (Superficie);Popolazione residente;Anno (Popolazione residente)
1;1;1;201;1001;1001;Agliè;;TO;0;0;2562;2021;13,1463;2022;2568;2022
1;1;1;201;1002;1002;Airasca;;TO;0;0;3660;2021;15,7393;2022;3669;2022
1;1;1;201;1003;1003;Ala di Stura;;TO;0;0;467;2021;46,3316;2022;464;2022
1;1;1;201;1004;1004;Albiano d'Ivrea;;TO;0;0;1637;2021;11,7397;2022;1628;2022
1;1;1;201;1006;1006;Almese;;TO;0;0;6331;2021;17,8741;2022;6292;2022
1;1;1;201;1007;1007;Alpette;;TO;0;0;240;2021;5,6311;2022;252;2022
1;1;1;201;1008;1008;Alpignano;;TO;0;0;16501;2021;11,9193;2022;16478;2022
1;1;1;201;1009;1009;Andezeno;;TO;0;0;2036;2021;7,4859;2022;2017;2022
1;1;1;201;1010;1010;Andrate;;TO;0;0;474;2021;9,3090;2022;483;2022
1;1;1;201;1011;1011;Angrogna;;TO;0;0;827;2021;38,8781;2022;809;2022
1;1;1;201;1012;1012;Arignano;;TO;0;0;1072;2021;8,1666;2022;1087;2022
1;1;1;201;1013;1013;Avigliana;;TO;0;0;12350;2021;23,2173;2022;12367;2022
1;1;1;201;1014;1014;Azeglio;;TO;0;0;1240;2021;9,9528;2022;1227;2022
1;1;1;201;1015;1015;Bairo;;TO;0;0;790;2021;7,0859;2022;794;2022
1;1;1;201;1016;1016;Balangero;;TO;0;0;3064;2021;13,0065;2022;3057;2022
1;1;1;201;1017;1017;Baldissero Canavese;;TO;0;0;530;2021;4,5064;2022;514;2022
1;1;1;201;1018;1018;Baldissero Torinese;;TO;0;0;3755;2021;15,4046;2022;3777;2022
1;1;1;201;1019;1019;Balme;;TO;0;0;105;2021;62,7105;2022;104;2022
1;1;1;201;1020;1020;Banchette;;TO;0;0;3085;2021;2,0289;2022;3095;2022
1;1;1;201;1021;1021;Barbania;;TO;0;0;1570;2021;12,8027;2022;1566;2022
