Codice Ripartizione geografica;Codice Regione;Codice Provincia/Uts;Codice Comune (alfanumerico);Codice Comune (numerico);Comune;Comune (dizione straniera);Sigla automobilistica;Capoluogo di Provincia/Uts;Capoluogo di Regione;Popolazione legale;Anno Censimento;Superficie (Kmq);Anno (Superficie);Popolazione residente;Anno (Popolazione residente)
1;1;1;1001;1001;Agliè;;TO;0;0;2574.0;2001;13,1462;2002;2538;2002
1;1;1;1002;1002;Airasca;;TO;0;0;3554.0;2001;15,7393;2002;3544;2002
1;1;1;1003;1003;Ala di Stura;;TO;0;0;479.0;2001;46,3315;2002;468;2002
1;1;1;1004;1004;Albiano d'Ivrea;;TO;0;0;1696.0;2001;11,7314;2002;1673;2002
1;1;1;1005;1005;Alice Superiore;;TO;0;0;616.0;2001;7,3796;2002;616;2002
1;1;1;1006;1006;Almese;;TO;0;0;5658.0;2001;17,8756;2002;5679;2002
1;1;1;1007;1007;Alpette;;TO;0;0;300.0;2001;5,6261;2002;284;2002
1;1;1;1008;1008;Alpignano;;TO;0;0;16648.0;2001;11,9193;2002;16695;2002
1;1;1;1009;1009;Andezeno;;TO;0;0;1705.0;2001;7,4860;2002;1742;2002
1;1;1;1010;1010;Andrate;;TO;0;0;476.0;2001;9,3085;2002;470;2002
1;1;1;1011;1011;Angrogna;;TO;0;0;777.0;2001;38,8782;2002;790;2002
1;1;1;1012;1012;Arignano;;TO;0;0;898.0;2001;8,1668;2002;901;2002
1;1;1;1013;1013;Avigliana;;TO;0;0;11070.0;2001;23,2172;2002;11171;2002
1;1;1;1014;1014;Azeglio;;TO;0;0;1274.0;2001;9,9605;2002;1294;2002
1;1;1;1015;1015;Bairo;;TO;0;0;788.0;2001;7,0859;2002;813;2002
1;1;1;1016;1016;Balangero;;TO;0;0;3048.0;2001;13,0063;2002;3057;2002
1;1;1;1017;1017;Baldissero Canavese;;TO;0;0;513.0;2001;4,5064;2002;523;2002
1;1;1;1018;1018;Baldissero Torinese;;TO;0;0;3244.0;2001;15,4054;2002;3326;2002
1;1;1;1019;1019;Balme;;TO;0;0;101.0;2001;62,7105;2002;101;2002
1;1;1;1020;1020;Banchette;;TO;0;0;3427.0;2001;2,0289;2002;3390;2002
1;1;1;1021;1021;Barbania;;TO;0;0;1479.0;2001;12,8027;2002;1508;2002
1;1;1;1022;1022;Bardonecchia;;TO;0;0;3038.0;2001;132,2029;2002;3010;2002
1;1;1;1023;1023;Barone Canavese;;TO;0;0;588.0;2001;3,9864;2002;589;2002
1;1;1;1024;1024;Beinasco;;TO;0;0;18198.0;2001;6,7343;2002;18412;2002
1;1;1;1025;1025;Bibiana;;TO;0;0;2856.0;2001;18,5979;2002;2908;2002
1;1;1;1026;1026;Bobbio Pellice;;TO;0;0;598.0;2001;94,0819;2002;594;2002
1;1;1;1027;1027;Bollengo;;TO;0;0;1997.0;2001;14,2234;2002;1997;2002
1;1;1;1028;1028;Borgaro Torinese;;TO;0;0;12757.0;2001;14,3261;2002;12909;2002
1;1;1;1029;1029;Borgiallo;;TO;0;0;496.0;2001;6,9648;2002;487;2002
1;1;1;1030;1030;Borgofranco d'Ivrea;;TO;0;0;3631.0;2001;13,4189;2002;3629;2002
1;1;1;1031;1031;Borgomasino;;TO;0;0;784.0;2001;12,3712;2002;797;2002
1;1;1;1032;1032;Borgone Susa;;TO;0;0;2227.0;2001;4,9617;2002;2233;2002
1;1;1;1033;1033;Bosconero;;TO;0;0;2927.0;2001;10,9191;2002;2922;2002
1;1;1;1034;1034;Brandizzo;;TO;0;0;7430.0;2001;6,2914;2002;7505;2002
1;1;1;1035;1035;Bricherasio;;TO;0;0;4020.0;2001;22,7585;2002;4010;2002
1;1;1;1036;1036;Brosso;;TO;0;0;474.0;2001;11,1350;2002;468;2002
1;1;1;1037;1037;Brozolo;;TO;0;0;435.0;2001;8,9504;2002;444;2002
1;1;1;1038;1038;Bruino;;TO;0;0;7308.0;2001;5,5701;2002;7422;2002
1;1;1;1039;1039;Brusasco;;TO;0;0;1664.0;2001;14,3592;2002;1663;2002
1;1;1;1040;1040;Bruzolo;;TO;0;0;1337.0;2001;12,5838;2002;1344;2002
1;1;1;1041;1041;Buriasco;;TO;0;0;1304.0;2001;14,6868;2002;1320;2002
1;1;1;1042;1042;Burolo;;TO;0;0;1349.0;2001;5,4760;2002;1337;2002
1;1;1;1043;1043;Busano;;TO;0;0;1367.0;2001;5,0643;2002;1374;2002
1;1;1;1044;1044;Bussoleno;;TO;0;0;6457.0;2001;37,1004;2002;6430;2002
1;1;1;1045;1045;Buttigliera Alta;;TO;0;0;6541.0;2001;8,0973;2002;6479;2002
1;1;1;1046;1046;Cafasse;;TO;0;0;3516.0;2001;10,2312;2002;3506;2002
1;1;1;1047;1047;Caluso;;TO;0;0;7132.0;2001;39,4925;2002;7153;2002
1;1;1;1048;1048;Cambiano;;TO;0;0;5799.0;2001;14,1314;2002;5783;2002
1;1;1;1049;1049;Campiglione Fenile;;TO;0;0;1284.0;2001;11,0864;2002;1279;2002
1;1;1;1050;1050;Candia Canavese;;TO;0;0;1302.0;2001;9,1317;2002;1291;2002
1;1;1;1051;1051;Candiolo;;TO;0;0;5113.0;2001;11,8499;2002;5197;2002
1;1;1;1052;1052;Canischio;;TO;0;0;274.0;2001;11,9505;2002;277;2002
1;1;1;1053;1053;Cantalupa;;TO;0;0;2073.0;2001;11,1953;2002;2121;2002
1;1;1;1054;1054;Cantoira;;TO;0;0;544.0;2001;23,0319;2002;557;2002
1;1;1;1055;1055;Caprie;;TO;0;0;1883.0;2001;16,4066;2002;1912;2002
1;1;1;1056;1056;Caravino;;TO;0;0;1008.0;2001;11,5371;2002;1025;2002
1;1;1;1057;1057;Carema;;TO;0;0;770.0;2001;10,2578;2002;765;2002
1;1;1;1058;1058;Carignano;;TO;0;0;8647.0;2001;50,6894;2002;8663;2002
1;1;1;1059;1059;Carmagnola;;TO;0;0;24911.0;2001;95,7149;2002;25075;2002
1;1;1;1060;1060;Casalborgone;;TO;0;0;1704.0;2001;20,1250;2002;1792;2002
1;1;1;1061;1061;Cascinette d'Ivrea;;TO;0;0;1449.0;2001;2,1726;2002;1450;2002
1;1;1;1062;1062;Caselette;;TO;0;0;2643.0;2001;14,3137;2002;2701;2002
1;1;1;1063;1063;Caselle Torinese;;TO;0;0;15857.0;2001;28,7115;2002;16073;2002
1;1;1;1064;1064;Castagneto Po;;TO;0;0;1425.0;2001;11,4732;2002;1480;2002
1;1;1;1065;1065;Castagnole Piemonte;;TO;0;0;1875.0;2001;17,2796;2002;1849;2002
1;1;1;1066;1066;Castellamonte;;TO;0;0;8979.0;2001;38,7063;2002;9059;2002
1;1;1;1067;1067;Castelnuovo Nigra;;TO;0;0;440.0;2001;28,3756;2002;438;2002
1;1;1;1068;1068;Castiglione Torinese;;TO;0;0;5480.0;2001;14,1346;2002;5496;2002
1;1;1;1069;1069;Cavagnolo;;TO;0;0;2281.0;2001;12,3285;2002;2308;2002
1;1;1;1070;1070;Cavour;;TO;0;0;5283.0;2001;48,9591;2002;5290;2002
1;1;1;1071;1071;Cercenasco;;TO;0;0;1774.0;2001;13,1595;2002;1817;2002
1;1;1;1072;1072;Ceres;;TO;0;0;1030.0;2001;28,0516;2002;1029;2002
1;1;1;1073;1073;Ceresole Reale;;TO;0;0;160.0;2001;99,8139;2002;164;2002
1;1;1;1074;1074;Cesana Torinese;;TO;0;0;956.0;2001;121,7001;2002;1068;2002
1;1;1;1075;1075;Chialamberto;;TO;0;0;362.0;2001;35,4478;2002;375;2002
1;1;1;1076;1076;Chianocco;;TO;0;0;1690.0;2001;18,5698;2002;1698;2002
1;1;1;1077;1077;Chiaverano;;TO;0;0;2198.0;2001;12,0221;2002;2203;2002
1;1;1;1078;1078;Chieri;;TO;0;0;32868.0;2001;54,1975;2002;32998;2002
1;1;1;1079;1079;Chiesanuova;;TO;0;0;199.0;2001;4,1189;2002;238;2002
1;1;1;1080;1080;Chiomonte;;TO;0;0;1011.0;2001;26,7549;2002;987;2002
1;1;1;1081;1081;Chiusa di San Michele;;TO;0;0;1602.0;2001;5,9165;2002;1590;2002
1;1;1;1082;1082;Chivasso;;TO;0;0;23648.0;2001;51,2378;2002;23590;2002
1;1;1;1083;1083;Ciconio;;TO;0;0;345.0;2001;3,1638;2002;351;2002
1;1;1;1084;1084;Cintano;;TO;0;0;244.0;2001;4,9345;2002;364;2002
1;1;1;1085;1085;Cinzano;;TO;0;0;331.0;2001;6,1962;2002;351;2002
1;1;1;1086;1086;Ciriè;;TO;0;0;18188.0;2001;17,7329;2002;18212;2002
