Codice Ripartizione geografica;Codice Regione;Codice Provincia/Uts;Codice Comune (alfanumerico);Codice Comune (numerico);Comune;Comune (dizione straniera);Sigla automobilistica;Capoluogo di Provincia/Uts;Capoluogo di Regione;Popolazione legale;Anno Censimento;Superficie (Kmq);Anno (Superficie);Popolazione residente;Anno (Popolazione residente)
1;1;1;1001;1001;Agliè;;TO;0;0;2574.0;2001;13,1462;2006;2662;2006
1;1;1;1002;1002;Airasca;;TO;0;0;3554.0;2001;15,7393;2006;3666;2006
1;1;1;1003;1003;Ala di Stura;;TO;0;0;479.0;2001;46,3315;2006;467;2006
1;1;1;1004;1004;Albiano d'Ivrea;;TO;0;0;1696.0;2001;11,7314;2006;1661;2006
1;1;1;1005;1005;Alice Superiore;;TO;0;0;616.0;2001;7,3796;2006;691;2006
1;1;1;1006;1006;Almese;;TO;0;0;5658.0;2001;17,8756;2006;6157;2006
1;1;1;1007;1007;Alpette;;TO;0;0;300.0;2001;5,6261;2006;252;2006
1;1;1;1008;1008;Alpignano;;TO;0;0;16648.0;2001;11,9193;2006;16781;2006
1;1;1;1009;1009;Andezeno;;TO;0;0;1705.0;2001;7,4860;2006;1936;2006
1;1;1;1010;1010;Andrate;;TO;0;0;476.0;2001;9,3085;2006;488;2006
1;1;1;1011;1011;Angrogna;;TO;0;0;777.0;2001;38,8782;2006;835;2006
1;1;1;1012;1012;Arignano;;TO;0;0;898.0;2001;8,1668;2006;1026;2006
1;1;1;1013;1013;Avigliana;;TO;0;0;11070.0;2001;23,2172;2006;11825;2006
1;1;1;1014;1014;Azeglio;;TO;0;0;1274.0;2001;9,9605;2006;1326;2006
1;1;1;1015;1015;Bairo;;TO;0;0;788.0;2001;7,0859;2006;808;2006
1;1;1;1016;1016;Balangero;;TO;0;0;3048.0;2001;13,0063;2006;3042;2006
1;1;1;1017;1017;Baldissero Canavese;;TO;0;0;513.0;2001;4,5064;2006;501;2006
