Codice Ripartizione geografica;Codice Regione;Codice Provincia (Storico);Codice Provincia/Uts;Codice Comune (alfanumerico);Codice Comune (numerico);Comune;Comune (dizione straniera);Sigla automobilistica;Capoluogo di Provincia/Uts;Capoluogo di Regione;Popolazione legale;Anno Censimento;Superficie (Kmq);Anno (Superficie);Popolazione residente;Anno (Popolazione residente)
1;1;1;201;1001;1001;Agliè;;TO;0;0;2644;2011;13,1462;2019;2621;2019
1;1;1;201;1002;1002;Airasca;;TO;0;0;3819;2011;15,7393;2019;3598;2019
1;1;1;201;1003;1003;Ala di Stura;;TO;0;0;462;2011;46,3315;2019;441;2019
1;1;1;201;1004;1004;Albiano d'Ivrea;;TO;0;0;1791;2011;11,7314;2019;1644;2019
1;1;1;201;1006;1006;Almese;;TO;0;0;6303;2011;17,8756;2019;6426;2019
1;1;1;201;1007;1007;Alpette;;TO;0;0;277;2011;5,6261;2019;248;2019
1;1;1;201;1008;1008;Alpignano;;TO;0;0;16893;2011;11,9193;2019;16945;2019
1;1;1;201;1009;1009;Andezeno;;TO;0;0;1966;2011;7,4860;2019;2041;2019
1;1;1;201;1010;1010;Andrate;;TO;0;0;512;2011;9,3085;2019;492;2019
1;1;1;201;1011;1011;Angrogna;;TO;0;0;870;2011;38,8782;2019;846;2019
1;1;1;201;1012;1012;Arignano;;TO;0;0;1039;2011;8,1668;2019;1081;2019
1;1;1;201;1013;1013;Avigliana;;TO;0;0;12129;2011;23,2172;2019;12611;2019
1;1;1;201;1014;1014;Azeglio;;TO;0;0;1347;2011;9,9605;2019;1244;2019
1;1;1;201;1015;1015;Bairo;;TO;0;0;816;2011;7,0859;2019;797;2019
1;1;1;201;1016;1016;Balangero;;TO;0;0;3161;2011;13,0063;2019;3153;2019
1;1;1;201;1017;1017;Baldissero Canavese;;TO;0;0;534;2011;4,5064;2019;531;2019
1;1;1;201;1018;1018;Baldissero Torinese;;TO;0;0;3783;2011;15,4054;2019;3601;2019
1;1;1;201;1019;1019;Balme;;TO;0;0;95;2011;62,7105;2019;114;2019
1;1;1;201;1020;1020;Banchette;;TO;0;0;3280;2011;2,0289;2019;3191;2019
1;1;1;201;1021;1021;Barbania;;TO;0;0;1623;2011;12,8027;2019;1567;2019
1;1;1;201;1022;1022;Bardonecchia;;TO;0;0;3212;2011;132,2030;2019;3148;2019
1;1;1;201;1023;1023;Barone Canavese;;TO;0;0;599;2011;3,9864;2019;578;2019
1;1;1;201;1024;1024;Beinasco;;TO;0;0;18104;2011;6,7343;2019;17785;2019
1;1;1;201;1025;1025;Bibiana;;TO;0;0;3376;2011;18,5979;2019;3470;2019
1;1;1;201;1026;1026;Bobbio Pellice;;TO;0;0;566;2011;94,0819;2019;547;2019
1;1;1;201;1027;1027;Bollengo;;TO;0;0;2112;2011;14,2234;2019;2131;2019
1;1;1;201;1028;1028;Borgaro Torinese;;TO;0;0;11723;2011;11,1039;2019;11907;2019
1;1;1;201;1029;1029;Borgiallo;;TO;0;0;550;2011;6,9648;2019;588;2019
1;1;1;201;1030;1030;Borgofranco d'Ivrea;;TO;0;0;3643;2011;13,4189;2019;3596;2019
1;1;1;201;1031;1031;Borgomasino;;TO;0;0;835;2011;12,3712;2019;790;2019
1;1;1;201;1032;1032;Borgone Susa;;TO;0;0;2320;2011;4,9617;2019;2197;2019
1;1;1;201;1033;1033;Bosconero;;TO;0;0;3056;2011;10,9190;2019;3095;2019
1;1;1;201;1034;1034;Brandizzo;;TO;0;0;8402;2011;6,2914;2019;8638;2019
1;1;1;201;1035;1035;Bricherasio;;TO;0;0;4517;2011;22,7585;2019;4593;2019
1;1;1;201;1036;1036;Brosso;;TO;0;0;460;2011;11,1350;2019;401;2019
1;1;1;201;1037;1037;Brozolo;;TO;0;0;471;2011;8,9504;2019;440;2019
1;1;1;201;1038;1038;Bruino;;TO;0;0;8479;2011;5,5701;2019;8578;2019
1;1;1;201;1039;1039;Brusasco;;TO;0;0;1726;2011;14,3592;2019;1482;2019
1;1;1;201;1040;1040;Bruzolo;;TO;0;0;1545;2011;12,5598;2019;1510;2019
1;1;1;201;1041;1041;Buriasco;;TO;0;0;1405;2011;14,6868;2019;1355;2019
1;1;1;201;1042;1042;Burolo;;TO;0;0;1228;2011;5,4760;2019;1126;2019
1;1;1;201;1043;1043;Busano;;TO;0;0;1588;2011;5,0591;2019;1623;2019
1;1;1;201;1044;1044;Bussoleno;;TO;0;0;6363;2011;37,0661;2019;5806;2019
1;1;1;201;1045;1045;Buttigliera Alta;;TO;0;0;6386;2011;8,0973;2019;6346;2019
1;1;1;201;1046;1046;Cafasse;;TO;0;0;3511;2011;10,2312;2019;3358;2019
1;1;1;201;1047;1047;Caluso;;TO;0;0;7483;2011;39,4925;2019;7411;2019
1;1;1;201;1048;1048;Cambiano;;TO;0;0;6215;2011;14,1314;2019;6011;2019
1;1;1;201;1049;1049;Campiglione Fenile;;TO;0;0;1382;2011;11,0863;2019;1339;2019
1;1;1;201;1050;1050;Candia Canavese;;TO;0;0;1286;2011;9,1318;2019;1176;2019
1;1;1;201;1051;1051;Candiolo;;TO;0;0;5566;2011;11,8499;2019;5645;2019
1;1;1;201;1052;1052;Canischio;;TO;0;0;294;2011;11,9505;2019;274;2019
1;1;1;201;1053;1053;Cantalupa;;TO;0;0;2527;2011;11,1953;2019;2588;2019
1;1;1;201;1054;1054;Cantoira;;TO;0;0;554;2011;23,0319;2019;594;2019
1;1;1;201;1055;1055;Caprie;;TO;0;0;2116;2011;16,4078;2019;2067;2019
1;1;1;201;1056;1056;Caravino;;TO;0;0;995;2011;11,5371;2019;906;2019
1;1;1;201;1057;1057;Carema;;TO;0;0;772;2011;10,2579;2019;765;2019
1;1;1;201;1058;1058;Carignano;;TO;0;0;9156;2011;50,6790;2019;9224;2019
1;1;1;201;1059;1059;Carmagnola;;TO;0;0;28563;2011;95,7148;2019;28485;2019
1;1;1;201;1060;1060;Casalborgone;;TO;0;0;1820;2011;20,1250;2019;1874;2019
1;1;1;201;1061;1061;Cascinette d'Ivrea;;TO;0;0;1491;2011;2,1726;2019;1511;2019
1;1;1;201;1062;1062;Caselette;;TO;0;0;2931;2011;14,3136;2019;3022;2019
1;1;1;201;1063;1063;Caselle Torinese;;TO;0;0;13389;2011;23,5513;2019;13907;2019
1;1;1;201;1064;1064;Castagneto Po;;TO;0;0;1791;2011;11,4732;2019;1748;2019
1;1;1;201;1065;1065;Castagnole Piemonte;;TO;0;0;2193;2011;17,2796;2019;2195;2019
